2013-Nov-25;15:50:43.354260;Start distance log
2013-Nov-25;15:50:43.354260;Track Description:;Track;trackID;_;__;___;Expected;expectDistance;expectAngle;Val;distance;____;velocity;acceleration;ttc;decelerationToStop;probability;ThreatLevel;Ch.0;Ch.1;Ch.2;Ch.3;Ch.4;Ch.5;Ch.6;
2013-Nov-25;15:50:43.354260;Distance Description:;Dist;_;__;Channel;DetectionID;Expected;expectDistance;expectAngle;Val;distance;intensity;velocity;acceletation;ttc;decelerationToStop;probability;ThreatLevel
2013-Nov-25;15:50:44.063300; ;Track;1079; ; ; ;Expected;0.00;0.0;Val;6.50; ;19.3;0.0;0.34;-57.0;99;0;0;1;0;0;0;0;0;
2013-Nov-25;15:50:44.063300; ;Track;1080; ; ; ;Expected;0.00;0.0;Val;6.50; ;19.3;0.0;0.34;-57.0;99;0;0;0;0;0;0;5;0;
2013-Nov-25;15:50:44.073301; ;Track;1081; ; ; ;Expected;0.00;0.0;Val;6.60; ;19.2;0.0;0.34;-55.9;99;0;0;1;0;0;0;0;0;
2013-Nov-25;15:50:44.073301; ;Track;1082; ; ; ;Expected;0.00;0.0;Val;6.60; ;19.2;0.0;0.34;-55.9;99;0;0;0;0;0;0;5;0;
2013-Nov-25;15:50:44.083302; ;Track;1083; ; ; ;Expected;0.00;0.0;Val;6.60; ;19.2;0.0;0.34;-55.9;99;0;0;1;0;0;0;0;0;
2013-Nov-25;15:50:44.083302; ;Track;1084; ; ; ;Expected;0.00;0.0;Val;6.60; ;19.2;0.0;0.34;-55.9;99;0;0;0;0;0;0;5;0;
2013-Nov-25;15:50:44.093302; ;Track;1085; ; ; ;Expected;0.00;0.0;Val;6.60; ;19.2;0.0;0.34;-55.9;99;0;0;1;0;0;0;0;0;
2013-Nov-25;15:50:44.093302; ;Track;1086; ; ; ;Expected;0.00;0.0;Val;6.60; ;19.2;0.0;0.34;-55.9;99;0;0;0;0;0;0;5;0;
2013-Nov-25;15:50:44.103303; ;Track;1087; ; ; ;Expected;0.00;0.0;Val;6.60; ;19.2;0.0;0.34;-55.9;99;0;0;1;0;0;0;0;0;
2013-Nov-25;15:50:44.103303; ;Track;1088; ; ; ;Expected;0.00;0.0;Val;6.60; ;19.2;0.0;0.34;-55.9;99;0;0;0;0;0;0;5;0;
2013-Nov-25;15:50:44.113303; ;Track;1089; ; ; ;Expected;0.00;0.0;Val;6.60; ;19.2;0.0;0.34;-55.9;99;0;0;1;0;0;0;0;0;
2013-Nov-25;15:50:44.113303; ;Track;1090; ; ; ;Expected;0.00;0.0;Val;6.60; ;19.2;0.0;0.34;-55.9;99;0;0;0;0;0;0;5;0;
2013-Nov-25;15:50:44.123304; ;Track;1091; ; ; ;Expected;0.00;0.0;Val;6.60; ;19.2;0.0;0.34;-55.9;99;0;0;1;0;0;0;0;0;
2013-Nov-25;15:50:44.123304; ;Track;1092; ; ; ;Expected;0.00;0.0;Val;6.60; ;19.2;0.0;0.34;-55.9;99;0;0;0;0;0;0;5;0;
2013-Nov-25;15:50:44.133304; ;Track;1093; ; ; ;Expected;0.00;0.0;Val;6.60; ;19.2;0.0;0.34;-55.9;99;0;0;1;0;0;0;0;0;
2013-Nov-25;15:50:44.133304; ;Track;1094; ; ; ;Expected;0.00;0.0;Val;6.60; ;19.2;0.0;0.34;-55.9;99;0;0;0;0;0;0;5;0;
2013-Nov-25;15:50:44.143305; ;Track;1095; ; ; ;Expected;0.00;0.0;Val;6.60; ;19.2;0.0;0.34;-55.9;99;0;0;1;0;0;0;0;0;
2013-Nov-25;15:50:44.143305; ;Track;1096; ; ; ;Expected;0.00;0.0;Val;6.60; ;19.2;0.0;0.34;-55.9;99;0;0;0;0;0;0;5;0;
2013-Nov-25;15:50:44.153306; ;Track;1097; ; ; ;Expected;0.00;0.0;Val;6.60; ;19.2;0.0;0.34;-55.9;99;0;0;1;0;0;0;0;0;
2013-Nov-25;15:50:44.153306; ;Track;1098; ; ; ;Expected;0.00;0.0;Val;6.60; ;19.2;0.0;0.34;-55.9;99;0;0;0;0;0;0;5;0;
2013-Nov-25;15:50:44.163306; ;Track;1099; ; ; ;Expected;0.00;0.0;Val;6.60; ;19.2;0.0;0.34;-55.9;99;0;0;1;0;0;0;0;0;
2013-Nov-25;15:50:44.163306; ;Track;1100; ; ; ;Expected;0.00;0.0;Val;6.60; ;19.2;0.0;0.34;-55.9;99;0;0;0;0;0;0;5;0;
2013-Nov-25;15:50:44.173307; ;Track;1101; ; ; ;Expected;0.00;0.0;Val;6.60; ;19.2;0.0;0.34;-55.9;99;0;0;1;0;0;0;0;0;
2013-Nov-25;15:50:44.173307; ;Track;1102; ; ; ;Expected;0.00;0.0;Val;6.60; ;19.2;0.0;0.34;-55.9;99;0;0;0;0;0;0;5;0;
2013-Nov-25;15:50:44.183307; ;Track;1103; ; ; ;Expected;0.00;0.0;Val;6.60; ;19.2;0.0;0.34;-55.9;99;0;0;1;0;0;0;0;0;
2013-Nov-25;15:50:44.183307; ;Track;1104; ; ; ;Expected;0.00;0.0;Val;6.60; ;19.2;0.0;0.34;-55.9;99;0;0;0;0;0;0;5;0;
2013-Nov-25;15:50:44.193308; ;Track;1105; ; ; ;Expected;0.00;0.0;Val;6.70; ;19.1;0.0;0.35;-54.7;99;0;0;1;0;0;0;0;0;
2013-Nov-25;15:50:44.193308; ;Track;1106; ; ; ;Expected;0.00;0.0;Val;6.70; ;19.1;0.0;0.35;-54.7;99;0;0;0;0;0;0;5;0;
2013-Nov-25;15:50:44.203308; ;Track;1107; ; ; ;Expected;0.00;0.0;Val;6.70; ;19.1;0.0;0.35;-54.7;99;0;0;1;0;0;0;0;0;
2013-Nov-25;15:50:44.203308; ;Track;1108; ; ; ;Expected;0.00;0.0;Val;6.70; ;19.1;0.0;0.35;-54.7;99;0;0;0;0;0;0;5;0;
2013-Nov-25;15:50:44.213309; ;Track;1109; ; ; ;Expected;0.00;0.0;Val;6.70; ;19.1;0.0;0.35;-54.7;99;0;0;1;0;0;0;0;0;
2013-Nov-25;15:50:44.213309; ;Track;1110; ; ; ;Expected;0.00;0.0;Val;6.70; ;19.1;0.0;0.35;-54.7;99;0;0;0;0;0;0;5;0;
2013-Nov-25;15:50:44.223310; ;Track;1111; ; ; ;Expected;0.00;0.0;Val;6.70; ;19.1;0.0;0.35;-54.7;99;0;0;1;0;0;0;0;0;
2013-Nov-25;15:50:44.223310; ;Track;1112; ; ; ;Expected;0.00;0.0;Val;6.70; ;19.1;0.0;0.35;-54.7;99;0;0;0;0;0;0;5;0;
2013-Nov-25;15:50:44.233310; ;Track;1113; ; ; ;Expected;0.00;0.0;Val;6.70; ;19.1;0.0;0.35;-54.7;99;0;0;1;0;0;0;0;0;
2013-Nov-25;15:50:44.233310; ;Track;1114; ; ; ;Expected;0.00;0.0;Val;6.70; ;19.1;0.0;0.35;-54.7;99;0;0;0;0;0;0;5;0;
2013-Nov-25;15:50:44.243311; ;Track;1115; ; ; ;Expected;0.00;0.0;Val;6.70; ;19.1;0.0;0.35;-54.7;99;0;0;1;0;0;0;0;0;
2013-Nov-25;15:50:44.243311; ;Track;1116; ; ; ;Expected;0.00;0.0;Val;6.70; ;19.1;0.0;0.35;-54.7;99;0;0;0;0;0;0;5;0;
2013-Nov-25;15:50:44.253311; ;Track;1117; ; ; ;Expected;0.00;0.0;Val;6.70; ;19.1;0.0;0.35;-54.7;99;0;0;1;0;0;0;0;0;
